Comment,Description,Designator,Quantity,Man. Part Number

"Kemet T491A106K010AT","Cap Tant Solid 10uF 10V A CASE 10% (3.2 X 1.6 X 1.6mm) SMD 3216-18 3.8 Ohm 125C T/R","C1, C21, C24, C29, C31, C33, C36, C37","8",""
"KEMET C0603C105K8PACTU","Ceramic Multilayer Capacitor; Capacitor Type: General Purpose; Capacitance: 1µF; Capacitance Tolerance: ± 10%;...","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C25, C27, C32, C34, C35, C38","25",""
"TDK C1005X7R1E104M050BB","C Series 0402 0.1 uF 25 V ±20 % Tolerance X7R SMT Multilayer Ceramic Capacitor","C22, C23, C30","3",""
"Kemet C1210C335K3PACTU","CAP CER 3.3UF 25V 10% X5R 1210","C26, C28","2",""
"Lite-On LTST-C193KRKT-5A","2.3 V Red LED 1608 (0603) SMD, Lite-On LTST-C193KRKT-5A","D1, D2, D5, D8","4",""
"LTST-C193TGKT-5A","Green 280 mcd 3.1 V Water Clear Surface Mount Ultra Bright InGaN Chip LED","D3, D6","2",""
"Lite-On LTST-C193KSKT-5A","Yellow 1.6 x 0.8 x 0.35 mm 130° 45 mcd 2.3 V Clear Surface Mount Chip LED","D4, D7","2",""
"Vishay TDSR1360 DISPLAY","LED; 280 ucd (Min.) @ 1 mA; 650 nm (Typ.) @ 1 mA; 1.8 V (Typ.) @ 1 mA; 5 V;","DS1_$ChannelName","4",""
"TE Connectivity 1-215307-0","AMPMODU Series 10 Position Dual Row 2.54 mm Through Hole Receptacle","P1","1",""
"Molex 87831-1220","Conn Shrouded Header (4 Sides) HDR 12 POS 2mm Solder ST Top Entry Thru-Hole Milli-Grid™ Tube","P2","1",""
"Molex 43045-2012","Header 2 Row Vertical Polarizing Peg 20Pin SMT/Glow Wire Tin Plate Kinked Leads","P3","1",""
"TEC 5103310-1","Conn Shrouded Header (4 Sides) HDR 10 POS 2.54mm Solder RA Side Entry Thru-Hole Tube","P4","1",""
"Panasonic ECG ERJ-3EKF1002V","RES SMD 10K OHM 1% 1/10W 0603","R1, R2, R3, R4, R5, R6, R7, R8, R17, R18, R19, R20","12",""
